     1	AHRM	28.864	51.295	80
     2	ASAO	34.548	50.025	2217
     3	BJRD	37.700	57.408	1337
     4	BNDS	27.399	56.171	1500
     5	BSRN	31.965	59.126	1416
     6	CHBR	25.595	60.482	125
     7	CHTH	35.908	51.126	2250
     8	DAMV	35.630	51.971	2300
     9	GHIR	28.286	52.987	1200
    10	GHVR	34.480	51.245	927
    11	GIDE	36.91	49.90	1838
    12	GRMI	38.810	47.894	1300
    13	KHMZ	33.739	49.959	1985
    14	KRBR	29.982	56.761	2576
    15	MAKU	39.355	44.683	1730
    16	MRVT	37.659	56.089	870
    17	NASN	32.799	52.808	2800
    18	SHGR	32.108	48.801	150
    19	SHRO	36.009	56.013	1264
    20	SHRT	33.646	60.291	837
    21	SNGE	35.093	47.347	1940
    22	TABS	33.649	57.119	1106
    23	THKV	35.916	50.879	1795
    24	YZKH	32.455	54.677	2226
    25	ZHSF	29.611	60.775	1575
    26	ZNJK	36.670	48.685	2200
    27	ABH1	30.600	50.253	346
    28	AFJ	35.855	51.712	2750
    29	AFRZ	33.425	59.015	1497
    30	AHWZ	31.330	48.644	19
    31	AKL	36.595	58.754	2510
    32	ALA	36.083	52.810	2600
    33	AMIS	31.665	49.287	442
    34	ANAR	33.190	53.729	1323
    35	ANJ	35.468	53.915	1845
    36	AZR	37.678	45.984	2273
    37	BAF	31.590	55.567	1415
    38	BDRS	33.954	48.881	2494
    39	BMDN	33.672	48.825	1698
    40	BNB	27.449	56.540	62
    41	BND	27.449	56.540	62
    42	BRJ	31.908	51.263	2300
    43	BST	37.701	46.889	2112
    44	BZA	34.470	47.861	2330
    45	CHK	32.244	54.408	1537
    46	CHMN	29.861	57.540	2564
    47	CSN1	37.564	49.095	18
    48	DAH	32.739	59.868	2341
    49	DHL1	32.681	47.281	204
    50	DHR	34.700	46.387	1840
    51	DMV	35.577	52.032	2546
    52	DOB	33.787	48.177	1948
    53	EMG	37.409	58.651	2547
    54	FIR	35.642	52.754	2380
    55	FTB	38.017	46.394	1665
    56	GAR	32.406	52.047	2020
    57	GENO	27.400	56.172	1616
    58	GHB	29.379	52.537	2812
    59	GHG	34.329	46.568	2060
    60	GLO	36.502	53.831	1950
    61	GZV	36.386	50.218	2458
    62	HAGD	34.822	49.139	1831
    63	HALM	34.860	48.168	2450
    64	HKZM	35.378	48.905	2328
    65	HRS	38.318	47.042	2137
    66	HSAM	34.212	48.602	2314
    67	HSB	35.438	51.276	1138
    68	HSH	37.305	47.264	2146
    69	HSRG	35.242	48.279	2545
    70	IL3	35.476	51.024	1109
    71	IL5	35.213	50.581	1353
    72	JHBN	32.231	50.666	2657
    73	JHRM	28.505	53.577	998
